,human_count,human_weight,human_panic,human_speed,Run,Total_steps
0,25,1.193359375,3.6298828125,2.353515625,0,18
1,29,1.193359375,3.6298828125,2.353515625,1,19
2,25,2.814453125,3.6298828125,2.353515625,2,14
3,25,1.193359375,0.3212890625,2.353515625,3,19
4,25,1.193359375,3.6298828125,2.798828125,4,13
5,25,2.814453125,0.3212890625,2.798828125,5,17
6,29,1.193359375,0.3212890625,2.798828125,6,16
7,29,2.814453125,3.6298828125,2.798828125,7,17
8,29,2.814453125,0.3212890625,2.353515625,8,15
9,29,2.814453125,0.3212890625,2.798828125,9,16
10,60,2.193359375,0.1298828125,1.353515625,10,22
11,64,2.193359375,0.1298828125,1.353515625,11,25
12,60,1.814453125,0.1298828125,1.353515625,12,25
13,60,2.193359375,3.8212890625,1.353515625,13,25
14,60,2.193359375,0.1298828125,1.798828125,14,24
15,60,1.814453125,3.8212890625,1.798828125,15,23
16,64,2.193359375,3.8212890625,1.798828125,16,31
17,64,1.814453125,0.1298828125,1.798828125,17,27
18,64,1.814453125,3.8212890625,1.353515625,18,27
19,64,1.814453125,3.8212890625,1.798828125,19,26
20,77,1.693359375,5.3798828125,2.853515625,20,30
21,47,1.693359375,5.3798828125,2.853515625,21,22
22,77,1.314453125,5.3798828125,2.853515625,22,36
23,77,1.693359375,2.0712890625,2.853515625,23,28
24,77,1.693359375,5.3798828125,1.298828125,24,32
25,77,1.314453125,2.0712890625,1.298828125,25,34
26,47,1.693359375,2.0712890625,1.298828125,26,19
27,47,1.314453125,5.3798828125,1.298828125,27,25
28,47,1.314453125,2.0712890625,2.853515625,28,20
29,47,1.314453125,2.0712890625,1.298828125,29,21
30,42,2.693359375,1.8798828125,1.853515625,30,17
31,12,2.693359375,1.8798828125,1.853515625,31,11
32,42,2.314453125,1.8798828125,1.853515625,32,21
33,42,2.693359375,5.5712890625,1.853515625,33,17
34,42,2.693359375,1.8798828125,2.298828125,34,23
35,42,2.314453125,5.5712890625,2.298828125,35,21
36,12,2.693359375,5.5712890625,2.298828125,36,12
37,12,2.314453125,1.8798828125,2.298828125,37,11
38,12,2.314453125,5.5712890625,1.853515625,38,9
39,12,2.314453125,5.5712890625,2.298828125,39,10
40,34,1.943359375,1.0048828125,1.603515625,40,20
41,20,1.943359375,1.0048828125,1.603515625,41,12
42,34,2.564453125,1.0048828125,1.603515625,42,17
43,34,1.943359375,2.9462890625,1.603515625,43,18
44,34,1.943359375,1.0048828125,1.048828125,44,17
45,34,2.564453125,2.9462890625,1.048828125,45,16
46,20,1.943359375,2.9462890625,1.048828125,46,15
47,20,2.564453125,1.0048828125,1.048828125,47,15
48,20,2.564453125,2.9462890625,1.603515625,48,14
49,20,2.564453125,2.9462890625,1.048828125,49,12
50,69,2.943359375,4.5048828125,2.603515625,50,29
51,55,2.943359375,4.5048828125,2.603515625,51,23
52,69,1.564453125,4.5048828125,2.603515625,52,27
53,69,2.943359375,6.4462890625,2.603515625,53,29
54,69,2.943359375,4.5048828125,2.048828125,54,29
55,69,1.564453125,6.4462890625,2.048828125,55,29
56,55,2.943359375,6.4462890625,2.048828125,56,26
57,55,1.564453125,4.5048828125,2.048828125,57,23
58,55,1.564453125,6.4462890625,2.603515625,58,20
59,55,1.564453125,6.4462890625,2.048828125,59,21
60,51,1.443359375,2.7548828125,1.103515625,60,20
61,73,1.443359375,2.7548828125,1.103515625,61,34
62,51,1.064453125,2.7548828125,1.103515625,62,40
63,51,1.443359375,1.1962890625,1.103515625,63,19
64,51,1.443359375,2.7548828125,2.548828125,64,25
65,51,1.064453125,1.1962890625,2.548828125,65,39
66,73,1.443359375,1.1962890625,2.548828125,66,30
67,73,1.064453125,2.7548828125,2.548828125,67,50
68,73,1.064453125,1.1962890625,1.103515625,68,54
69,73,1.064453125,1.1962890625,2.548828125,69,51
70,16,2.443359375,6.2548828125,2.103515625,70,12
71,38,2.443359375,6.2548828125,2.103515625,71,18
72,16,2.064453125,6.2548828125,2.103515625,72,11
73,16,2.443359375,4.6962890625,2.103515625,73,10
74,16,2.443359375,6.2548828125,1.548828125,74,12
75,16,2.064453125,4.6962890625,1.548828125,75,11
76,38,2.443359375,4.6962890625,1.548828125,76,17
77,38,2.064453125,6.2548828125,1.548828125,77,19
78,38,2.064453125,4.6962890625,2.103515625,78,16
79,38,2.064453125,4.6962890625,1.548828125,79,17
80,14,1.380859375,0.3486328125,1.916015625,80,12
81,53,1.380859375,0.3486328125,1.916015625,81,22
82,14,1.501953125,0.3486328125,1.916015625,82,10
83,14,1.380859375,6.6650390625,1.916015625,83,12
84,14,1.380859375,0.3486328125,2.611328125,84,10
85,14,1.501953125,6.6650390625,2.611328125,85,12
86,53,1.380859375,6.6650390625,2.611328125,86,26
87,53,1.501953125,0.3486328125,2.611328125,87,22
88,53,1.501953125,6.6650390625,1.916015625,88,23
89,53,1.501953125,6.6650390625,2.611328125,89,24
90,49,2.380859375,3.8486328125,2.916015625,90,22
91,18,2.380859375,3.8486328125,2.916015625,91,12
92,49,2.501953125,3.8486328125,2.916015625,92,17
93,49,2.380859375,3.1650390625,2.916015625,93,21
94,49,2.380859375,3.8486328125,1.611328125,94,22
95,49,2.501953125,3.1650390625,1.611328125,95,20
96,18,2.380859375,3.1650390625,1.611328125,96,12
97,18,2.501953125,3.8486328125,1.611328125,97,13
98,18,2.501953125,3.1650390625,2.916015625,98,13
99,18,2.501953125,3.1650390625,1.611328125,99,11
100,25,1.193359375,3.6298828125,2.353515625,100,13
101,29,1.193359375,3.6298828125,2.353515625,101,15
102,25,2.814453125,3.6298828125,2.353515625,102,13
103,25,1.193359375,0.3212890625,2.353515625,103,14
104,25,1.193359375,3.6298828125,2.798828125,104,17
105,25,2.814453125,0.3212890625,2.798828125,105,14
106,29,1.193359375,0.3212890625,2.798828125,106,19
107,29,2.814453125,3.6298828125,2.798828125,107,15
108,29,2.814453125,0.3212890625,2.353515625,108,19
109,29,2.814453125,0.3212890625,2.798828125,109,15
110,60,2.193359375,0.1298828125,1.353515625,110,25
111,64,2.193359375,0.1298828125,1.353515625,111,27
112,60,1.814453125,0.1298828125,1.353515625,112,24
113,60,2.193359375,3.8212890625,1.353515625,113,26
114,60,2.193359375,0.1298828125,1.798828125,114,29
115,60,1.814453125,3.8212890625,1.798828125,115,23
116,64,2.193359375,3.8212890625,1.798828125,116,31
117,64,1.814453125,0.1298828125,1.798828125,117,29
118,64,1.814453125,3.8212890625,1.353515625,118,27
119,64,1.814453125,3.8212890625,1.798828125,119,28
120,77,1.693359375,5.3798828125,2.853515625,120,31
121,47,1.693359375,5.3798828125,2.853515625,121,21
122,77,1.314453125,5.3798828125,2.853515625,122,32
123,77,1.693359375,2.0712890625,2.853515625,123,30
124,77,1.693359375,5.3798828125,1.298828125,124,29
125,77,1.314453125,2.0712890625,1.298828125,125,33
126,47,1.693359375,2.0712890625,1.298828125,126,20
127,47,1.314453125,5.3798828125,1.298828125,127,22
128,47,1.314453125,2.0712890625,2.853515625,128,22
129,47,1.314453125,2.0712890625,1.298828125,129,25
130,42,2.693359375,1.8798828125,1.853515625,130,20
131,12,2.693359375,1.8798828125,1.853515625,131,11
132,42,2.314453125,1.8798828125,1.853515625,132,18
