,human_count,human_weight,human_panic,Run,Escaped
0,16,1.193359375,0.36298828125,0,0
1,30,1.193359375,0.36298828125,1,0
2,16,1.560546875,0.36298828125,2,0
3,16,1.193359375,0.63505859375,3,4
4,16,1.560546875,0.63505859375,4,4
5,30,1.193359375,0.63505859375,5,6
6,30,1.560546875,0.36298828125,6,0
7,30,1.560546875,0.63505859375,7,9
8,31,2.193359375,0.012988281249999999,8,0
9,15,2.193359375,0.012988281249999999,9,0
10,31,2.560546875,0.012988281249999999,10,0
11,31,2.193359375,0.28505859375,11,0
12,31,2.560546875,0.28505859375,12,0
13,15,2.193359375,0.28505859375,13,0
14,15,2.560546875,0.012988281249999999,14,0
15,15,2.560546875,0.28505859375,15,0
16,39,1.693359375,0.53798828125,16,9
17,37,1.693359375,0.53798828125,17,5
18,39,2.060546875,0.53798828125,18,6
19,39,1.693359375,0.11005859374999999,19,0
20,39,2.060546875,0.11005859374999999,20,0
21,37,1.693359375,0.11005859374999999,21,0
22,37,2.060546875,0.53798828125,22,8
23,37,2.060546875,0.11005859374999999,23,0
24,24,2.693359375,0.18798828125,24,0
25,22,2.693359375,0.18798828125,25,0
26,24,1.060546875,0.18798828125,26,0
27,24,2.693359375,0.46005859374999997,27,0
28,24,1.060546875,0.46005859374999997,28,0
29,22,2.693359375,0.46005859374999997,29,1
30,22,1.060546875,0.18798828125,30,0
31,22,1.060546875,0.46005859374999997,31,2
32,20,1.943359375,0.10048828124999999,32,0
33,19,1.943359375,0.10048828124999999,33,0
34,20,1.310546875,0.10048828124999999,34,0
35,20,1.943359375,0.5475585937499999,35,3
36,20,1.310546875,0.5475585937499999,36,1
37,19,1.943359375,0.5475585937499999,37,1
38,19,1.310546875,0.10048828124999999,38,0
39,19,1.310546875,0.5475585937499999,39,1
40,16,1.193359375,0.36298828125,40,0
41,30,1.193359375,0.36298828125,41,0
42,16,1.560546875,0.36298828125,42,1
43,16,1.193359375,0.63505859375,43,7
44,16,1.560546875,0.63505859375,44,4
45,30,1.193359375,0.63505859375,45,6
46,30,1.560546875,0.36298828125,46,0
47,30,1.560546875,0.63505859375,47,8
48,31,2.193359375,0.012988281249999999,48,0
49,15,2.193359375,0.012988281249999999,49,0
50,31,2.560546875,0.012988281249999999,50,0
51,31,2.193359375,0.28505859375,51,0
52,31,2.560546875,0.28505859375,52,0
53,15,2.193359375,0.28505859375,53,0
54,15,2.560546875,0.012988281249999999,54,0
55,15,2.560546875,0.28505859375,55,0
56,39,1.693359375,0.53798828125,56,7
57,37,1.693359375,0.53798828125,57,3
58,39,2.060546875,0.53798828125,58,7
59,39,1.693359375,0.11005859374999999,59,0
60,39,2.060546875,0.11005859374999999,60,0
61,37,1.693359375,0.11005859374999999,61,0
62,37,2.060546875,0.53798828125,62,5
63,37,2.060546875,0.11005859374999999,63,0
64,24,2.693359375,0.18798828125,64,0
65,22,2.693359375,0.18798828125,65,0
66,24,1.060546875,0.18798828125,66,0
67,24,2.693359375,0.46005859374999997,67,1
68,24,1.060546875,0.46005859374999997,68,0
69,22,2.693359375,0.46005859374999997,69,1
70,22,1.060546875,0.18798828125,70,0
71,22,1.060546875,0.46005859374999997,71,0
72,20,1.943359375,0.10048828124999999,72,0
73,19,1.943359375,0.10048828124999999,73,0
74,20,1.310546875,0.10048828124999999,74,0
75,20,1.943359375,0.5475585937499999,75,3
76,20,1.310546875,0.5475585937499999,76,3
77,19,1.943359375,0.5475585937499999,77,2
78,19,1.310546875,0.10048828124999999,78,0
79,19,1.310546875,0.5475585937499999,79,2
80,16,1.193359375,0.36298828125,80,0
81,30,1.193359375,0.36298828125,81,2
82,16,1.560546875,0.36298828125,82,1
83,16,1.193359375,0.63505859375,83,1
84,16,1.560546875,0.63505859375,84,5
85,30,1.193359375,0.63505859375,85,7
86,30,1.560546875,0.36298828125,86,0
87,30,1.560546875,0.63505859375,87,9
88,31,2.193359375,0.012988281249999999,88,0
89,15,2.193359375,0.012988281249999999,89,0
90,31,2.560546875,0.012988281249999999,90,0
91,31,2.193359375,0.28505859375,91,0
92,31,2.560546875,0.28505859375,92,0
93,15,2.193359375,0.28505859375,93,0
94,15,2.560546875,0.012988281249999999,94,0
95,15,2.560546875,0.28505859375,95,0
96,39,1.693359375,0.53798828125,96,3
97,37,1.693359375,0.53798828125,97,7
98,39,2.060546875,0.53798828125,98,7
99,39,1.693359375,0.11005859374999999,99,0
100,39,2.060546875,0.11005859374999999,100,0
101,37,1.693359375,0.11005859374999999,101,0
102,37,2.060546875,0.53798828125,102,7
103,37,2.060546875,0.11005859374999999,103,0
104,24,2.693359375,0.18798828125,104,0
105,22,2.693359375,0.18798828125,105,0
106,24,1.060546875,0.18798828125,106,0
107,24,2.693359375,0.46005859374999997,107,0
108,24,1.060546875,0.46005859374999997,108,1
109,22,2.693359375,0.46005859374999997,109,0
110,22,1.060546875,0.18798828125,110,0
111,22,1.060546875,0.46005859374999997,111,2
112,20,1.943359375,0.10048828124999999,112,0
113,19,1.943359375,0.10048828124999999,113,0
114,20,1.310546875,0.10048828124999999,114,0
115,20,1.943359375,0.5475585937499999,115,0
116,20,1.310546875,0.5475585937499999,116,2
117,19,1.943359375,0.5475585937499999,117,3
118,19,1.310546875,0.10048828124999999,118,0
119,19,1.310546875,0.5475585937499999,119,3
120,16,1.193359375,0.36298828125,120,0
121,30,1.193359375,0.36298828125,121,1
122,16,1.560546875,0.36298828125,122,0
123,16,1.193359375,0.63505859375,123,9
124,16,1.560546875,0.63505859375,124,2
125,30,1.193359375,0.63505859375,125,3
126,30,1.560546875,0.36298828125,126,0
127,30,1.560546875,0.63505859375,127,8
128,31,2.193359375,0.012988281249999999,128,0
129,15,2.193359375,0.012988281249999999,129,0
130,31,2.560546875,0.012988281249999999,130,0
131,31,2.193359375,0.28505859375,131,0
132,31,2.560546875,0.28505859375,132,0
133,15,2.193359375,0.28505859375,133,0
134,15,2.560546875,0.012988281249999999,134,0
135,15,2.560546875,0.28505859375,135,0
136,39,1.693359375,0.53798828125,136,8
137,37,1.693359375,0.53798828125,137,5
138,39,2.060546875,0.53798828125,138,7
139,39,1.693359375,0.11005859374999999,139,0
140,39,2.060546875,0.11005859374999999,140,0
141,37,1.693359375,0.11005859374999999,141,0
142,37,2.060546875,0.53798828125,142,6
143,37,2.060546875,0.11005859374999999,143,0
144,24,2.693359375,0.18798828125,144,0
145,22,2.693359375,0.18798828125,145,0
146,24,1.060546875,0.18798828125,146,0
147,24,2.693359375,0.46005859374999997,147,1
148,24,1.060546875,0.46005859374999997,148,2
149,22,2.693359375,0.46005859374999997,149,2
150,22,1.060546875,0.18798828125,150,0
151,22,1.060546875,0.46005859374999997,151,0
152,20,1.943359375,0.10048828124999999,152,0
153,19,1.943359375,0.10048828124999999,153,0
154,20,1.310546875,0.10048828124999999,154,0
155,20,1.943359375,0.5475585937499999,155,3
156,20,1.310546875,0.5475585937499999,156,3
157,19,1.943359375,0.5475585937499999,157,3
158,19,1.310546875,0.10048828124999999,158,0
159,19,1.310546875,0.5475585937499999,159,3
160,16,1.193359375,0.36298828125,160,0
161,30,1.193359375,0.36298828125,161,0
162,16,1.560546875,0.36298828125,162,0
163,16,1.193359375,0.63505859375,163,0
164,16,1.560546875,0.63505859375,164,4
165,30,1.193359375,0.63505859375,165,10
166,30,1.560546875,0.36298828125,166,0
167,30,1.560546875,0.63505859375,167,7
168,31,2.193359375,0.012988281249999999,168,0
169,15,2.193359375,0.012988281249999999,169,0
170,31,2.560546875,0.012988281249999999,170,0
171,31,2.193359375,0.28505859375,171,0
172,31,2.560546875,0.28505859375,172,0
173,15,2.193359375,0.28505859375,173,0
174,15,2.560546875,0.012988281249999999,174,0
175,15,2.560546875,0.28505859375,175,0
176,39,1.693359375,0.53798828125,176,6
177,37,1.693359375,0.53798828125,177,6
178,39,2.060546875,0.53798828125,178,6
179,39,1.693359375,0.11005859374999999,179,0
180,39,2.060546875,0.11005859374999999,180,0
181,37,1.693359375,0.11005859374999999,181,0
182,37,2.060546875,0.53798828125,182,8
183,37,2.060546875,0.11005859374999999,183,0
184,24,2.693359375,0.18798828125,184,0
185,22,2.693359375,0.18798828125,185,0
186,24,1.060546875,0.18798828125,186,0
187,24,2.693359375,0.46005859374999997,187,2
188,24,1.060546875,0.46005859374999997,188,3
189,22,2.693359375,0.46005859374999997,189,2
190,22,1.060546875,0.18798828125,190,0
191,22,1.060546875,0.46005859374999997,191,1
192,20,1.943359375,0.10048828124999999,192,0
193,19,1.943359375,0.10048828124999999,193,0
194,20,1.310546875,0.10048828124999999,194,0
195,20,1.943359375,0.5475585937499999,195,3
196,20,1.310546875,0.5475585937499999,196,2
197,19,1.943359375,0.5475585937499999,197,2
198,19,1.310546875,0.10048828124999999,198,0
199,19,1.310546875,0.5475585937499999,199,2
200,16,1.193359375,0.36298828125,200,0
201,30,1.193359375,0.36298828125,201,0
202,16,1.560546875,0.36298828125,202,0
203,16,1.193359375,0.63505859375,203,3
204,16,1.560546875,0.63505859375,204,3
205,30,1.193359375,0.63505859375,205,8
206,30,1.560546875,0.36298828125,206,0
207,30,1.560546875,0.63505859375,207,9
208,31,2.193359375,0.012988281249999999,208,0
209,15,2.193359375,0.012988281249999999,209,0
210,31,2.560546875,0.012988281249999999,210,0
211,31,2.193359375,0.28505859375,211,0
212,31,2.560546875,0.28505859375,212,0
213,15,2.193359375,0.28505859375,213,0
214,15,2.560546875,0.012988281249999999,214,0
215,15,2.560546875,0.28505859375,215,0
216,39,1.693359375,0.53798828125,216,8
217,37,1.693359375,0.53798828125,217,8
218,39,2.060546875,0.53798828125,218,6
219,39,1.693359375,0.11005859374999999,219,0
220,39,2.060546875,0.11005859374999999,220,0
221,37,1.693359375,0.11005859374999999,221,0
