,human_count,human_weight,human_panic,Run,Total_steps
0,16,1.193359375,0.36298828125,0,23
1,30,1.193359375,0.36298828125,1,29
2,16,1.560546875,0.36298828125,2,21
3,16,1.193359375,0.63505859375,3,238
4,16,1.560546875,0.63505859375,4,60
5,30,1.193359375,0.63505859375,5,97
6,30,1.560546875,0.36298828125,6,29
7,30,1.560546875,0.63505859375,7,1000
8,16,1.193359375,0.36298828125,8,28
9,30,1.193359375,0.36298828125,9,22
10,16,1.560546875,0.36298828125,10,24
11,16,1.193359375,0.63505859375,11,37
12,16,1.560546875,0.63505859375,12,116
13,30,1.193359375,0.63505859375,13,293
14,30,1.560546875,0.36298828125,14,24
15,30,1.560546875,0.63505859375,15,92
